date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:45	90956/90956	---M-Z	200	added ('OK')	text/html	etag:%221634c-6642d555-bfe996cc0742ffff;gz%22	https://pixydrops.com/remons/index.html	C:/Users/HP/Documents/conne/pixydrops.com/remons/index.html	(from )
12:15:50	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-652d59d8-b36d9866d6282000;gz%22	https://pixydrops.com/robots.txt		(from )
12:15:51	3803/3803	---M--	200	added ('OK')	image/png	etag:%22edb-6642d555-1f2f1afd0dc1e4ac;;;%22	https://pixydrops.com/remons/assets/img/favicon.png	C:/Users/HP/Documents/conne/pixydrops.com/remons/assets/img/favicon.png	(from https://pixydrops.com/remons/index.html)
12:15:54	297515/297515	---M-Z	200	added ('OK')	text/css	etag:%2248a2b-6642d555-fb7cb43f5e8a4f2a;gz%22	https://pixydrops.com/remons/assets/css/bootstrap.min.css	C:/Users/HP/Documents/conne/pixydrops.com/remons/assets/css/bootstrap.min.css	(from https://pixydrops.com/remons/index.html)
12:15:55	100783/100783	---M-Z	200	added ('OK')	text/css	etag:%22189af-6642d555-5a0f1a98fd4ecfdd;gz%22	https://pixydrops.com/remons/assets/css/all.min.css	C:/Users/HP/Documents/conne/pixydrops.com/remons/assets/css/all.min.css	(from https://pixydrops.com/remons/index.html)
12:15:56	57095/57095	---M-Z	200	added ('OK')	text/css	etag:%22df07-6642d555-d26441c0a2a407fd;gz%22	https://pixydrops.com/remons/assets/css/animate.css	C:/Users/HP/Documents/conne/pixydrops.com/remons/assets/css/animate.css	(from https://pixydrops.com/remons/index.html)
12:15:58	6955/6955	---M-Z	200	added ('OK')	text/css	etag:%221b2b-6642d555-2015eb4c38633325;gz%22	https://pixydrops.com/remons/assets/css/magnific-popup.css	C:/Users/HP/Documents/conne/pixydrops.com/remons/assets/css/magnific-popup.css	(from https://pixydrops.com/remons/index.html)
12:15:59	2915/2915	---M-Z	200	added ('OK')	text/css	etag:%22b63-6642d555-d9a08a4aeed270d4;gz%22	https://pixydrops.com/remons/assets/css/meanmenu.css	C:/Users/HP/Documents/conne/pixydrops.com/remons/assets/css/meanmenu.css	(from https://pixydrops.com/remons/index.html)
12:16:01	18450/18450	---M-Z	200	added ('OK')	text/css	etag:%224812-6642d555-963fd2f80a2836c;gz%22	https://pixydrops.com/remons/assets/css/datepickerboot.css	C:/Users/HP/Documents/conne/pixydrops.com/remons/assets/css/datepickerboot.css	(from https://pixydrops.com/remons/index.html)
12:16:02	16466/16466	---M-Z	200	added ('OK')	text/css	etag:%224052-6642d555-8a59ca06d7867c95;gz%22	https://pixydrops.com/remons/assets/css/swiper-bundle.min.css	C:/Users/HP/Documents/conne/pixydrops.com/remons/assets/css/swiper-bundle.min.css	(from https://pixydrops.com/remons/index.html)
12:16:03	4011/4011	---M-Z	200	added ('OK')	text/css	etag:%22fab-6642d555-3ad180c44e51ab2f;gz%22	https://pixydrops.com/remons/assets/css/nice-select.css	C:/Users/HP/Documents/conne/pixydrops.com/remons/assets/css/nice-select.css	(from https://pixydrops.com/remons/index.html)
12:16:04	156054/156054	---M-Z	200	added ('OK')	text/css	etag:%2226196-6642d555-7f2196526dbf1ee7;gz%22	https://pixydrops.com/remons/assets/css/main.css	C:/Users/HP/Documents/conne/pixydrops.com/remons/assets/css/main.css	(from https://pixydrops.com/remons/index.html)
12:16:05	7239/7239	---M-Z	200	added ('OK')	image/svg+xml	etag:%221c47-6642d555-e8ecd950c52c2cca;gz%22	https://pixydrops.com/remons/assets/img/logo/black-logo.svg	C:/Users/HP/Documents/conne/pixydrops.com/remons/assets/img/logo/black-logo.svg	(from https://pixydrops.com/remons/index.html)
12:16:06	34920/34920	---M-Z	200	added ('OK')	text/html	etag:%228868-6642d555-9d70c34024a4f7dc;gz%22	https://pixydrops.com/remons/contact.html	C:/Users/HP/Documents/conne/pixydrops.com/remons/contact.html	(from https://pixydrops.com/remons/index.html)
12:16:07	74038/74038	---M-Z	200	added ('OK')	text/html	etag:%2212136-6642d555-2e4a14803b678566;gz%22	https://pixydrops.com/remons/index-2.html	C:/Users/HP/Documents/conne/pixydrops.com/remons/index-2.html	(from https://pixydrops.com/remons/index.html)
12:16:08	87903/87903	---M-Z	200	added ('OK')	text/html	etag:%221575f-6642d555-146e5951ce30692;gz%22	https://pixydrops.com/remons/index-3.html	C:/Users/HP/Documents/conne/pixydrops.com/remons/index-3.html	(from https://pixydrops.com/remons/index.html)
12:16:10	49775/49775	---M-Z	200	added ('OK')	text/html	etag:%22c26f-6642d555-a7c0fdc4731b0113;gz%22	https://pixydrops.com/remons/about.html	C:/Users/HP/Documents/conne/pixydrops.com/remons/about.html	(from https://pixydrops.com/remons/index.html)
12:16:11	40245/40245	---M-Z	200	added ('OK')	text/html	etag:%229d35-6642d555-8a7f2fbd8346a2dc;gz%22	https://pixydrops.com/remons/news.html	C:/Users/HP/Documents/conne/pixydrops.com/remons/news.html	(from https://pixydrops.com/remons/index.html)
12:16:12	32839/32839	---M-Z	200	added ('OK')	text/html	etag:%228047-6642d555-d993f206eca4cf41;gz%22	https://pixydrops.com/remons/gallery.html	C:/Users/HP/Documents/conne/pixydrops.com/remons/gallery.html	(from https://pixydrops.com/remons/index.html)
12:16:13	38525/38525	---M-Z	200	added ('OK')	text/html	etag:%22967d-6642d555-b3197850b63e7f95;gz%22	https://pixydrops.com/remons/faq.html	C:/Users/HP/Documents/conne/pixydrops.com/remons/faq.html	(from https://pixydrops.com/remons/index.html)
12:16:14	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-652d59d8-b36d9866d6282000;gz%22	https://pixydrops.com/remons/program-details.html	C:/Users/HP/Documents/conne/pixydrops.com/remons/program-details.html	(from https://pixydrops.com/remons/index.html)
12:16:16	44732/44732	---M-Z	200	added ('OK')	text/html	etag:%22aebc-6642d555-50a87a66926b5973;gz%22	https://pixydrops.com/remons/car-grid.html	C:/Users/HP/Documents/conne/pixydrops.com/remons/car-grid.html	(from https://pixydrops.com/remons/index.html)
12:16:17	44590/44590	---M-Z	200	added ('OK')	text/html	etag:%22ae2e-6642d555-f5c93d7d84ec777c;gz%22	https://pixydrops.com/remons/car-list.html	C:/Users/HP/Documents/conne/pixydrops.com/remons/car-list.html	(from https://pixydrops.com/remons/index.html)
